category,style,size,chest_cm,waist_cm,arm_length_cm,neckline_cm
shirts,regular,XXS,74.9707108932236,64.14799520791298,59.0,33.0
shirts,regular,XXS,74.26782554987409,62.79956491791773,59.0,33.0
shirts,regular,XXS,74.06351369859088,63.47841698971104,59.0,33.0
shirts,regular,XXS,76.51979107920347,62.96955135556162,59.0,33.0
shirts,regular,XXS,74.3273502755318,62.4058272186751,59.0,33.0
shirts,regular,XXS,74.46700975682081,64.05063297358734,59.0,33.0
shirts,regular,XXS,76.53673612113036,63.935026479146266,59.0,33.0
shirts,regular,XXS,75.83421893758914,65.73237137952994,59.0,33.0
shirts,regular,XXS,77.2481851168835,63.578028742879816,59.0,33.0
shirts,regular,XXS,77.67115803248095,62.63349949969528,59.0,33.0
shirts,regular,XXS,74.54115951085022,63.78388150529183,59.0,33.0
shirts,regular,XXS,77.53159274373714,65.27564318284134,59.0,33.0
shirts,regular,XXS,76.52982264951049,64.03384361513446,59.0,33.0
shirts,regular,XXS,77.53666113340904,65.388430180269,59.0,33.0
shirts,regular,XXS,76.3202182641821,65.55996170062747,59.0,33.0
shirts,regular,XXS,77.15034796592619,65.85212551189254,59.0,33.0
shirts,regular,XXS,75.53537360284407,62.998495743898445,59.0,33.0
shirts,regular,XXS,76.09688259753008,62.68295053640278,59.0,33.0
shirts,regular,XXS,77.4209983924144,64.214940087671,59.0,33.0
shirts,regular,XXS,74.73273737291495,65.88829604192904,59.0,33.0
shirts,regular,XXS,77.51616423816984,62.723653645867145,59.0,33.0
shirts,regular,XXS,75.96442099628678,62.74737108575067,59.0,33.0
shirts,regular,XXS,77.20440379106068,65.31885167297858,59.0,33.0
shirts,regular,XXS,77.20066654538276,62.62614456761038,59.0,33.0
shirts,regular,XXS,74.6505949890661,62.99654930260229,59.0,33.0
shirts,regular,XXS,77.57723940230646,65.0361037702474,59.0,33.0
shirts,regular,XXS,74.71129791330678,65.67467773280374,59.0,33.0
shirts,regular,XXS,76.66037288387503,62.22550061090542,59.0,33.0
shirts,regular,XXS,75.12978253430903,63.390086616919,59.0,33.0
shirts,regular,XXS,77.76553799471603,65.10123213849583,59.0,33.0
shirts,regular,XXS,77.17807754769467,63.96961276320269,59.0,33.0
shirts,regular,XXS,74.80335071743261,64.52433792501417,59.0,33.0
shirts,regular,XXS,75.54908819938547,65.49748259755026,59.0,33.0
shirts,regular,XXS,74.8926812304597,65.34018456182382,59.0,33.0
shirts,regular,XXS,76.18587043032628,65.69613872622588,59.0,33.0
shirts,regular,XXS,75.33679952520059,63.92534708143093,59.0,33.0
shirts,regular,XXS,75.09233246346281,65.9988898600595,59.0,33.0
shirts,regular,XXS,76.97380015168464,65.27656427933115,59.0,33.0
shirts,regular,XXS,76.1747753326147,65.35600872515444,59.0,33.0
shirts,regular,XXS,74.63571002214762,64.72490313900353,59.0,33.0
shirts,regular,XXS,76.0369561416283,65.41090381166673,59.0,33.0
shirts,regular,XXS,76.5439559143263,64.89843201214173,59.0,33.0
shirts,regular,XXS,76.46613724668104,63.70165583193779,59.0,33.0
shirts,regular,XXS,74.01729384500844,62.380710613982615,59.0,33.0
shirts,regular,XXS,75.1251190369378,64.0390305067259,59.0,33.0
shirts,regular,XXS,74.12922174390243,63.08482756533599,59.0,33.0
shirts,regular,XXS,77.7912657842312,62.22182389320228,59.0,33.0
shirts,regular,XXS,76.22734028434103,62.95584934966129,59.0,33.0
shirts,regular,XXS,77.2859487903272,63.39782724738368,59.0,33.0
shirts,regular,XXS,74.74176966077194,63.90066468040625,59.0,33.0
shirts,regular,XXS,77.42202964651271,64.02956193780217,59.0,33.0
shirts,regular,XXS,74.03250075113273,63.5561724904388,59.0,33.0
shirts,regular,XXS,76.88195671402904,62.08893082525859,59.0,33.0
shirts,regular,XXS,77.76120100303977,62.93254766345749,59.0,33.0
shirts,regular,XXS,77.01946301168392,63.73747911993862,59.0,33.0
shirts,regular,XXS,77.42280784959189,62.8692756525529,59.0,33.0
shirts,regular,XXS,77.97237395894946,65.68514003621772,59.0,33.0
shirts,regular,XXS,77.2495601641127,64.52298593363392,59.0,33.0
shirts,regular,XXS,77.08400077960513,63.21144354124801,59.0,33.0
shirts,regular,XXS,77.54093229919039,62.14782030292698,59.0,33.0
shirts,regular,XXS,75.94019660294911,64.72177170490066,59.0,33.0
shirts,regular,XXS,75.91716311712587,64.05812793049057,59.0,33.0
shirts,regular,XXS,74.2147069245885,64.40155861935996,59.0,33.0
shirts,regular,XXS,75.55894560807307,62.75298683113844,59.0,33.0
shirts,regular,XXS,77.26725047087153,64.51480514810702,59.0,33.0
shirts,regular,XXS,77.77196227868089,62.890419099760635,59.0,33.0
shirts,regular,XXS,76.31607512597893,63.27181956844921,59.0,33.0
shirts,regular,XXS,75.67257323505665,62.602261196941114,59.0,33.0
shirts,regular,XXS,77.0932090520647,62.07874304693238,59.0,33.0
shirts,regular,XXS,74.38844194811034,64.01582881832391,59.0,33.0
shirts,regular,XXS,76.29783748415323,62.11059323591291,59.0,33.0
shirts,regular,XXS,76.43785267202752,63.40480409557464,59.0,33.0
shirts,regular,XXS,75.16332453268636,64.13059673726617,59.0,33.0
shirts,regular,XXS,77.77682266450483,65.91864934623025,59.0,33.0
shirts,regular,XXS,76.93799042148147,63.11825689311588,59.0,33.0
shirts,regular,XXS,74.76479910596166,62.31785270642156,59.0,33.0
shirts,regular,XXS,77.19515164800838,62.02551591330165,59.0,33.0
shirts,regular,XXS,74.02969954805762,65.86305373996983,59.0,33.0
shirts,regular,XXS,77.86240201903611,64.70316464843785,59.0,33.0
shirts,regular,XXS,76.7316170090183,65.10235053347128,59.0,33.0
shirts,regular,XXS,77.08712523251003,65.16595734835067,59.0,33.0
shirts,regular,XXS,74.39898037012706,64.4236842804216,59.0,33.0
shirts,regular,XXS,75.03939622653014,65.59020449072038,59.0,33.0
shirts,regular,XXS,74.12148438574954,62.99020330626315,59.0,33.0
shirts,regular,XXS,75.69773236799091,62.22069215082453,59.0,33.0
shirts,regular,XXS,74.29780552738089,63.143721513844156,59.0,33.0
shirts,regular,XXS,74.37186523702198,65.42116402650366,59.0,33.0
shirts,regular,XXS,75.40338329847938,65.74192654077363,59.0,33.0
shirts,regular,XXS,74.37291945311605,65.88468027858869,59.0,33.0
shirts,regular,XXS,74.53248388360784,62.03987707654826,59.0,33.0
shirts,regular,XXS,77.02145201692136,62.025711335137245,59.0,33.0
shirts,regular,XXS,77.43413706699087,62.59862900287505,59.0,33.0
shirts,regular,XXS,75.24545984782662,65.12403089694966,59.0,33.0
shirts,regular,XXS,75.9314027376135,64.61905208045094,59.0,33.0
