category,style,size,chest_cm,low_hip_cm,UK,EUR,inside_leg_length_cm
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,-4.0,-4.0,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,-4.0,-4.0,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,-4.0,-4.0,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,-4.0,-4.0,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,-4.0,-4.0,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,-4.0,-4.0,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,-4.0,-4.0,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,-4.0,-4.0,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,-4.0,-4.0,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,-4.0,-4.0,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,-4.0,-4.0,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,-4.0,-4.0,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,-4.0,-4.0,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,-4.0,-4.0,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,-4.0,-4.0,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,-4.0,-4.0,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,-4.0,-4.0,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,-4.0,-4.0,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,-4.0,-4.0,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,-4.0,-4.0,4,32,71.0
dresses_pajamas_robes_pencilskirts_pleatedskirts_miniskirts,regular,XXS,-4.0,-4.0,4,32,71.0
