category,style,size,chest_cm,waist_cm,low_hip_cm
tops,regular,XXS,77.1682330174459,63.929625830825444,82.08758269583556
tops,regular,XXS,77.61821880938868,63.54306837177149,82.70848069447523
tops,regular,XXS,77.37968158475698,62.96709801682507,82.70019825309642
tops,regular,XXS,75.46240285854508,63.91182112670783,80.30764679134617
tops,regular,XXS,75.25713100329449,63.88124283230812,81.51263626069607
tops,regular,XXS,74.5204957526375,62.830849847539035,82.55751327885903
tops,regular,XXS,75.71172625552951,62.654068543879575,80.57930287241808
tops,regular,XXS,77.61065353053377,62.62926537789363,79.9263434247098
tops,regular,XXS,74.39815543622136,63.72626354420871,81.56969132445514
tops,regular,XXS,76.52160999693321,63.97813986547715,79.01341676264367
tops,regular,XXS,76.02495454156147,63.16208281914893,81.01666711088978
tops,regular,XXS,75.92760295618982,62.49974349100637,79.35796468907736
tops,regular,XXS,75.75499151355154,62.411539373797496,80.06134102706355
tops,regular,XXS,76.52393011026386,62.39627497021539,80.60718546705051
tops,regular,XXS,75.22109869540053,62.548043410894216,79.45299526210266
tops,regular,XXS,74.26782972358109,62.89984698354804,80.61507579311672
tops,regular,XXS,76.58372910382684,62.77048614939161,79.53106315454463
tops,regular,XXS,75.51299246628524,63.68701235957091,82.56012253669527
tops,regular,XXS,76.98425568630185,62.79947804236873,81.29358230564496
tops,regular,XXS,77.42202478924575,62.84027697569473,80.30481962170734
tops,regular,XXS,77.26643686703817,62.49113453092138,82.81871929488929
tops,regular,XXS,77.86724869057964,62.029538028896916,80.30278992460951
tops,regular,XXS,77.13737043797892,62.433181115215476,82.48320062912069
tops,regular,XXS,77.10787974996109,62.39352162553895,79.27480047073543
tops,regular,XXS,74.66459614434537,62.91034051623932,79.69798457395451
tops,regular,XXS,75.64268076590973,62.839850815952815,80.34070752406465
tops,regular,XXS,75.68914209058505,62.25458735072805,79.59275967215544
tops,regular,XXS,77.82006371968369,62.784676703472854,79.53484708729532
tops,regular,XXS,77.29085536266606,63.72002691791933,80.27544917130322
tops,regular,XXS,75.23896594099476,63.41281638318637,81.9682355777445
tops,regular,XXS,77.74303253312836,63.02718877398788,81.80328804243806
tops,regular,XXS,74.97591811505681,62.5313562783193,80.64441561669898
tops,regular,XXS,74.65118507987427,63.64250515653297,82.59384558495536
tops,regular,XXS,76.89765117742827,62.99518227301676,82.80546040878895
tops,regular,XXS,76.38847697106513,62.12583869496084,81.29576994406206
tops,regular,XXS,74.13881813484039,63.50171755590476,81.91429590801604
tops,regular,XXS,74.23778674721561,62.1448015611125,82.16921254399125
tops,regular,XXS,75.14376681355294,63.793102544694776,82.01741949260403
tops,regular,XXS,75.15427573700586,63.23920472569795,82.61758795531883
tops,regular,XXS,74.8593782496273,63.9920589183206,82.91782521922607
tops,regular,XXS,76.25891098844104,62.69323972101372,80.32335285614519
tops,regular,XXS,74.93325755973686,63.2797701902435,82.00408269083665
tops,regular,XXS,74.90491298522521,63.49505362106027,82.53218678609798
tops,regular,XXS,75.30752605455136,63.77307810095864,79.36978123530008
tops,regular,XXS,75.51624132083364,62.820171791085045,82.0107443346479
tops,regular,XXS,76.36107214311642,62.26920314922848,79.60342228257998
tops,regular,XXS,76.80069230217747,62.61787338592888,80.1639314942191
